year,county,flag_yr,aian,asian,black_african_american,hawaiian_pacific_islander,white,two_or_more_races,other,hispanic_white,hispanic_two_or_more_races,hispanic_other
2016,Madera,FALSE,119,86,397,8,3061,105,508,2613,2815,2184
2016,Marin,FALSE,27,302,602,19,2796,151,91,875,1218,146
2016,Mariposa,FALSE,43,11,7,2,852,58,14,53,30,14
2016,Mendocino,FALSE,460,44,129,7,4325,202,236,291,507,462
2016,Merced,FALSE,98,1136,1757,70,6188,387,41,5993,8373,397
2016,Modoc,FALSE,45,1,2,0,374,11,29,8,21,29
2016,Mono,FALSE,23,2,2,0,240,15,46,86,20,14
2016,Monterey,FALSE,42,491,796,78,3711,365,625,2559,9335,3781
2016,Napa,FALSE,16,110,89,12,1512,79,23,989,621,81
2016,Nevada,FALSE,43,26,25,4,3721,106,129,172,113,34
2016,Orange,FALSE,407,15235,3764,411,37869,901,886,2876,22,61784
2016,Placer,FALSE,132,223,304,24,7314,84,0,0,1316,0
2016,Plumas,FALSE,26,4,58,5,827,32,43,31,50,25
2016,Riverside,FALSE,519,2559,15317,328,35958,2468,5716,12530,29712,23640
2016,Sacramento,FALSE,1466,6619,25267,4241,45003,0,0,18102,0,1536
2016,San Benito,FALSE,8,24,20,3,561,30,32,803,889,144
2016,San Bernardino,FALSE,621,3629,30185,613,44282,2930,5478,26957,37010,27716
2016,San Diego,FALSE,1014,6776,15935,1480,55414,200,1039,6959,96,53446
2016,San Francisco,FALSE,243,9080,6840,426,6135,5781,0,0,0,6688
2016,San Joaquin,FALSE,258,5432,8601,209,12988,1304,1605,6460,7927,6826
2016,San Luis Obispo,FALSE,122,137,192,40,7088,0,0,2460,0,0
2016,San Mateo,FALSE,277,5420,2760,1552,350,0,2,4735,0,0
2016,Santa Barbara,FALSE,90,254,517,58,5658,128,1476,6573,3497,74
2016,Santa Clara,FALSE,576,11013,3147,249,14148,0,0,0,0,24140
2016,Santa Cruz,FALSE,26,15,10,26,493,6267,0,5039,261,2363
2016,Shasta,FALSE,442,318,207,24,10171,497,322,377,354,248
2016,Sierra,FALSE,2,0,0,0,134,3,1,4,1,12
2016,Siskiyou,FALSE,175,60,63,5,2316,148,92,80,149,84
2016,Solano,FALSE,226,1543,6780,418,6963,400,647,525,4702,211
2016,Sonoma,FALSE,345,403,583,111,11181,0,125,466,0,5874
2016,Stanislaus,FALSE,147,1513,2374,183,16862,1116,1010,7169,7565,3958
2016,Sutter,FALSE,42,346,208,13,2921,205,27,398,1075,490
2016,Tehama,FALSE,92,59,40,4,3235,115,107,139,347,434
2016,Trinity,FALSE,33,22,5,1,762,70,22,29,23,7
2016,Tulare,FALSE,194,361,794,106,12163,1014,0,35008,2240,0
2016,Tuolumne,FALSE,40,29,20,9,2532,119,67,150,115,47
2016,Ventura,FALSE,187,784,984,270,13720,0,0,0,21145,0
2016,Yolo,FALSE,182,510,0,231,5864,0,0,3875,0,0
2016,Yuba,FALSE,113,321,266,22,3722,284,100,271,740,302
2016,Statewide,FALSE,14500,113606,281142,13488,583910,59747,61050,396946,293013,266336
